"YEAR","RACE","SEX","SITE","EVENT_TYPE","COUNT","POPULATION"
"2005","All Races","Female","All Cancer Sites Combined","Mortality","268886",150319521
"2006","All Races","Female","All Cancer Sites Combined","Incidence","711985",151732647
"2006","All Races","Female","All Cancer Sites Combined","Mortality","269816",151732647
"2007","All Races","Female","All Cancer Sites Combined","Incidence","727746",153166353
"2007","All Races","Female","All Cancer Sites Combined","Mortality","270014",153166353
"2008","All Races","Female","All Cancer Sites Combined","Incidence","745189",154604015
"2008","All Races","Female","All Cancer Sites Combined","Mortality","270207",154604015
"2009","All Races","Female","All Cancer Sites Combined","Incidence","758443",155964075
"2009","All Races","Female","All Cancer Sites Combined","Mortality","270856",155964075
"2010","All Races","Female","All Cancer Sites Combined","Incidence","756510",157258820
"2010","All Races","Female","All Cancer Sites Combined","Mortality","273706",157258820
"2010-2014","All Races","Female","All Cancer Sites Combined","Incidence","3871939",791087365
"2010-2014","All Races","Female","All Cancer Sites Combined","Mortality","1382829",797940140
"2011","All Races","Female","All Cancer Sites Combined","Incidence","763830",157079233
"2011","All Races","Female","All Cancer Sites Combined","Mortality","274457",158427085
"2012","All Races","Female","All Cancer Sites Combined","Incidence","781565",159581546
"2012","All Races","Female","All Cancer Sites Combined","Mortality","276946",159581546
"2013","All Races","Female","All Cancer Sites Combined","Incidence","793607",160720625
"2013","All Races","Female","All Cancer Sites Combined","Mortality","277319",160720625
"2014","All Races","Female","All Cancer Sites Combined","Incidence","799734",161952064
"2014","All Races","Female","All Cancer Sites Combined","Mortality","280401",161952064
"1999","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","625523",139034769
"2000","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","635157",140494755
"2001","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","652897",143603977
"2002","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","656501",144616076
"2003","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","665330",147679036
"2004","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","675601",148977286
"2005","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","689713",150319521
"2006","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","700776",151732647
"2007","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","715634",153166353
"2008","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","732894",154604015
"2009","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","746115",155964075
"2010","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","744517",157258820
"2010-2014","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","3815066",791087365
"2011","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","752316",157079233
"2012","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","769917",159581546
"2013","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","782244",160720625
"2014","All Races","Female","All Sites (comparable to ICD-O-2)","Incidence","789232",161952064
"1999","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2240",139034769
"1999","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","294",142237295
"2000","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2280",140494755
"2000","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","298",143719004
"2001","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2384",143603977
"2001","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","326",145077463
"2002","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2477",144616076
"2002","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","326",146394634
"2003","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2717",147679036
"2003","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","369",147679036
"2004","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2899",148977286
"2004","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","349",148977286
"2005","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","2952",150319521
"2005","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","369",150319521
"2006","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3058",151732647
"2006","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","387",151732647
"2007","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3348",153166353
"2007","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","389",153166353
"2008","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3488",154604015
"2008","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","444",154604015
"2009","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3803",155964075
"2009","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","516",155964075
"2010","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3765",157258820
"2010","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","478",157258820
"2010-2014","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","20438",791087365
"2010-2014","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","2616",797940140
"2011","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","3919",157079233
"2011","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","518",158427085
"2012","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","4145",159581546
"2012","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","521",159581546
"2013","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","4221",160720625
"2013","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","529",160720625
"2014","All Races","Female","Anus, Anal Canal and Anorectum","Incidence","4523",161952064
"2014","All Races","Female","Anus, Anal Canal and Anorectum","Mortality","570",161952064
"1999","All Races","Female","Bones and Joints","Incidence","1166",139034769
"1999","All Races","Female","Bones and Joints","Mortality","557",142237295
"2000","All Races","Female","Bones and Joints","Incidence","1186",140494755
"2000","All Races","Female","Bones and Joints","Mortality","530",143719004
"2001","All Races","Female","Bones and Joints","Incidence","1270",143603977
"2001","All Races","Female","Bones and Joints","Mortality","581",145077463
"2002","All Races","Female","Bones and Joints","Incidence","1233",144616076
"2002","All Races","Female","Bones and Joints","Mortality","530",146394634
"2003","All Races","Female","Bones and Joints","Incidence","1249",147679036
"2003","All Races","Female","Bones and Joints","Mortality","539",147679036
"2004","All Races","Female","Bones and Joints","Incidence","1330",148977286
"2004","All Races","Female","Bones and Joints","Mortality","586",148977286
"2005","All Races","Female","Bones and Joints","Incidence","1330",150319521
"2005","All Races","Female","Bones and Joints","Mortality","607",150319521
"2006","All Races","Female","Bones and Joints","Incidence","1276",151732647
"2006","All Races","Female","Bones and Joints","Mortality","601",151732647
"2007","All Races","Female","Bones and Joints","Incidence","1315",153166353
"2007","All Races","Female","Bones and Joints","Mortality","580",153166353
"2008","All Races","Female","Bones and Joints","Incidence","1332",154604015
"2008","All Races","Female","Bones and Joints","Mortality","603",154604015
"2009","All Races","Female","Bones and Joints","Incidence","1356",155964075
"2009","All Races","Female","Bones and Joints","Mortality","604",155964075
"2010","All Races","Female","Bones and Joints","Incidence","1336",157258820
"2010","All Races","Female","Bones and Joints","Mortality","575",157258820
"2010-2014","All Races","Female","Bones and Joints","Incidence","6717",791087365
"2010-2014","All Races","Female","Bones and Joints","Mortality","3069",797940140
"2011","All Races","Female","Bones and Joints","Incidence","1365",157079233
"2011","All Races","Female","Bones and Joints","Mortality","609",158427085
"2012","All Races","Female","Bones and Joints","Incidence","1326",159581546
"2012","All Races","Female","Bones and Joints","Mortality","581",159581546
"2013","All Races","Female","Bones and Joints","Incidence","1369",160720625
"2013","All Races","Female","Bones and Joints","Mortality","621",160720625
"2014","All Races","Female","Bones and Joints","Incidence","1363",161952064
"2014","All Races","Female","Bones and Joints","Mortality","683",161952064
"1999","All Races","Female","Brain","Incidence","7829",139034769
"2000","All Races","Female","Brain","Incidence","7855",140494755
"2001","All Races","Female","Brain","Incidence","7813",143603977
"2002","All Races","Female","Brain","Incidence","7964",144616076
"2003","All Races","Female","Brain","Incidence","8223",147679036
"2004","All Races","Female","Brain","Incidence","8516",148977286
"2005","All Races","Female","Brain","Incidence","8533",150319521
"2006","All Races","Female","Brain","Incidence","8690",151732647
"2007","All Races","Female","Brain","Incidence","8858",153166353
"2008","All Races","Female","Brain","Incidence","8888",154604015
"2009","All Races","Female","Brain","Incidence","9064",155964075
"2010","All Races","Female","Brain","Incidence","8955",157258820
"2010-2014","All Races","Female","Brain","Incidence","44977",791087365
"2011","All Races","Female","Brain","Incidence","8887",157079233
"2012","All Races","Female","Brain","Incidence","9130",159581546
"2013","All Races","Female","Brain","Incidence","9247",160720625
"2014","All Races","Female","Brain","Incidence","9038",161952064
"1999","All Races","Female","Brain and Other Nervous System","Incidence","8468",139034769
"1999","All Races","Female","Brain and Other Nervous System","Mortality","5764",142237295
"2000","All Races","Female","Brain and Other Nervous System","Incidence","8517",140494755
"2000","All Races","Female","Brain and Other Nervous System","Mortality","5644",143719004
"2001","All Races","Female","Brain and Other Nervous System","Incidence","8521",143603977
"2001","All Races","Female","Brain and Other Nervous System","Mortality","5594",145077463
"2002","All Races","Female","Brain and Other Nervous System","Incidence","8677",144616076
"2002","All Races","Female","Brain and Other Nervous System","Mortality","5705",146394634
"2003","All Races","Female","Brain and Other Nervous System","Incidence","9058",147679036
"2003","All Races","Female","Brain and Other Nervous System","Mortality","5779",147679036
"2004","All Races","Female","Brain and Other Nervous System","Incidence","9309",148977286
"2004","All Races","Female","Brain and Other Nervous System","Mortality","5755",148977286
"2005","All Races","Female","Brain and Other Nervous System","Incidence","9342",150319521
"2005","All Races","Female","Brain and Other Nervous System","Mortality","5835",150319521
"2006","All Races","Female","Brain and Other Nervous System","Incidence","9411",151732647
"2006","All Races","Female","Brain and Other Nervous System","Mortality","5688",151732647
"2007","All Races","Female","Brain and Other Nervous System","Incidence","9611",153166353
"2007","All Races","Female","Brain and Other Nervous System","Mortality","5919",153166353
"2008","All Races","Female","Brain and Other Nervous System","Incidence","9671",154604015
"2008","All Races","Female","Brain and Other Nervous System","Mortality","6038",154604015
"2009","All Races","Female","Brain and Other Nervous System","Incidence","9844",155964075
"2009","All Races","Female","Brain and Other Nervous System","Mortality","6318",155964075
"2010","All Races","Female","Brain and Other Nervous System","Incidence","9710",157258820
"2010","All Races","Female","Brain and Other Nervous System","Mortality","6187",157258820
"2010-2014","All Races","Female","Brain and Other Nervous System","Incidence","48557",791087365
"2010-2014","All Races","Female","Brain and Other Nervous System","Mortality","32990",797940140
"2011","All Races","Female","Brain and Other Nervous System","Incidence","9598",157079233
"2011","All Races","Female","Brain and Other Nervous System","Mortality","6363",158427085
"2012","All Races","Female","Brain and Other Nervous System","Incidence","9818",159581546
"2012","All Races","Female","Brain and Other Nervous System","Mortality","6610",159581546
"2013","All Races","Female","Brain and Other Nervous System","Incidence","10004",160720625
"2013","All Races","Female","Brain and Other Nervous System","Mortality","6852",160720625
"2014","All Races","Female","Brain and Other Nervous System","Incidence","9723",161952064
"2014","All Races","Female","Brain and Other Nervous System","Mortality","6978",161952064
"1999","All Races","Female","Cervix","Incidence","13747",139034769
"1999","All Races","Female","Cervix","Mortality","4204",142237295
"2000","All Races","Female","Cervix","Incidence","13725",140494755
"2000","All Races","Female","Cervix","Mortality","4200",143719004
"2001","All Races","Female","Cervix","Incidence","13257",143603977
"2001","All Races","Female","Cervix","Mortality","4092",145077463
"2002","All Races","Female","Cervix","Incidence","12862",144616076
"2002","All Races","Female","Cervix","Mortality","3952",146394634
"2003","All Races","Female","Cervix","Incidence","12689",147679036
"2003","All Races","Female","Cervix","Mortality","3919",147679036
"2004","All Races","Female","Cervix","Incidence","12485",148977286
"2004","All Races","Female","Cervix","Mortality","3850",148977286
"2005","All Races","Female","Cervix","Incidence","12777",150319521
"2005","All Races","Female","Cervix","Mortality","3924",150319521
"2006","All Races","Female","Cervix","Incidence","12696",151732647
"2006","All Races","Female","Cervix","Mortality","3976",151732647
"2007","All Races","Female","Cervix","Incidence","12687",153166353
"2007","All Races","Female","Cervix","Mortality","4021",153166353
"2008","All Races","Female","Cervix","Incidence","12709",154604015
"2008","All Races","Female","Cervix","Mortality","4008",154604015
"2009","All Races","Female","Cervix","Incidence","12876",155964075
"2009","All Races","Female","Cervix","Mortality","3909",155964075
"2010","All Races","Female","Cervix","Incidence","12479",157258820
"2010","All Races","Female","Cervix","Mortality","3939",157258820
"2010-2014","All Races","Female","Cervix","Incidence","61499",791087365
"2010-2014","All Races","Female","Cervix","Mortality","20437",797940140
"2011","All Races","Female","Cervix","Incidence","12325",157079233
"2011","All Races","Female","Cervix","Mortality","4092",158427085
"2012","All Races","Female","Cervix","Incidence","12349",159581546
"2012","All Races","Female","Cervix","Mortality","4074",159581546
"2013","All Races","Female","Cervix","Incidence","12224",160720625
"2013","All Races","Female","Cervix","Mortality","4217",160720625
"2014","All Races","Female","Cervix","Incidence","12578",161952064
"2014","All Races","Female","Cervix","Mortality","4115",161952064
"1999","All Races","Female","Chronic Lymphocytic","Incidence","4582",139034769
"1999","All Races","Female","Chronic Lymphocytic","Mortality","1917",142237295
"2000","All Races","Female","Chronic Lymphocytic","Incidence","4970",140494755
"2000","All Races","Female","Chronic Lymphocytic","Mortality","1873",143719004
"2001","All Races","Female","Chronic Lymphocytic","Incidence","5281",143603977
"2001","All Races","Female","Chronic Lymphocytic","Mortality","1867",145077463
"2002","All Races","Female","Chronic Lymphocytic","Incidence","5349",144616076
"2002","All Races","Female","Chronic Lymphocytic","Mortality","1888",146394634
"2003","All Races","Female","Chronic Lymphocytic","Incidence","5708",147679036
"2003","All Races","Female","Chronic Lymphocytic","Mortality","1871",147679036
"2004","All Races","Female","Chronic Lymphocytic","Incidence","5909",148977286
"2004","All Races","Female","Chronic Lymphocytic","Mortality","1793",148977286
"2005","All Races","Female","Chronic Lymphocytic","Incidence","6031",150319521
"2005","All Races","Female","Chronic Lymphocytic","Mortality","1768",150319521
"2006","All Races","Female","Chronic Lymphocytic","Incidence","6177",151732647
"2006","All Races","Female","Chronic Lymphocytic","Mortality","1839",151732647
"2007","All Races","Female","Chronic Lymphocytic","Incidence","5990",153166353
"2007","All Races","Female","Chronic Lymphocytic","Mortality","1812",153166353
"2008","All Races","Female","Chronic Lymphocytic","Incidence","6062",154604015
"2008","All Races","Female","Chronic Lymphocytic","Mortality","1772",154604015
"2009","All Races","Female","Chronic Lymphocytic","Incidence","6129",155964075
"2009","All Races","Female","Chronic Lymphocytic","Mortality","1845",155964075
"2010","All Races","Female","Chronic Lymphocytic","Incidence","6386",157258820
"2010","All Races","Female","Chronic Lymphocytic","Mortality","1784",157258820
"2010-2014","All Races","Female","Chronic Lymphocytic","Incidence","31464",791087365
"2010-2014","All Races","Female","Chronic Lymphocytic","Mortality","9049",797940140
"2011","All Races","Female","Chronic Lymphocytic","Incidence","6382",157079233
"2011","All Races","Female","Chronic Lymphocytic","Mortality","1852",158427085
"2012","All Races","Female","Chronic Lymphocytic","Incidence","6416",159581546
"2012","All Races","Female","Chronic Lymphocytic","Mortality","1761",159581546
"2013","All Races","Female","Chronic Lymphocytic","Incidence","6290",160720625
"2013","All Races","Female","Chronic Lymphocytic","Mortality","1871",160720625
"2014","All Races","Female","Chronic Lymphocytic","Incidence","6154",161952064
"2014","All Races","Female","Chronic Lymphocytic","Mortality","1781",161952064
"1999","All Races","Female","Chronic Myeloid","Incidence","1846",139034769
"1999","All Races","Female","Chronic Myeloid","Mortality","807",142237295
"2000","All Races","Female","Chronic Myeloid","Incidence","1915",140494755
"2000","All Races","Female","Chronic Myeloid","Mortality","766",143719004
"2001","All Races","Female","Chronic Myeloid","Incidence","1994",143603977
"2001","All Races","Female","Chronic Myeloid","Mortality","749",145077463
"2002","All Races","Female","Chronic Myeloid","Incidence","1884",144616076
"2002","All Races","Female","Chronic Myeloid","Mortality","618",146394634
"2003","All Races","Female","Chronic Myeloid","Incidence","1983",147679036
"2003","All Races","Female","Chronic Myeloid","Mortality","547",147679036
"2004","All Races","Female","Chronic Myeloid","Incidence","1991",148977286
"2004","All Races","Female","Chronic Myeloid","Mortality","521",148977286
"2005","All Races","Female","Chronic Myeloid","Incidence","2021",150319521
"2005","All Races","Female","Chronic Myeloid","Mortality","493",150319521
"2006","All Races","Female","Chronic Myeloid","Incidence","2217",151732647
"2006","All Races","Female","Chronic Myeloid","Mortality","474",151732647
"2007","All Races","Female","Chronic Myeloid","Incidence","2122",153166353
"2007","All Races","Female","Chronic Myeloid","Mortality","447",153166353
"2008","All Races","Female","Chronic Myeloid","Incidence","2150",154604015
"2008","All Races","Female","Chronic Myeloid","Mortality","403",154604015
"2009","All Races","Female","Chronic Myeloid","Incidence","2369",155964075
"2009","All Races","Female","Chronic Myeloid","Mortality","443",155964075
"2010","All Races","Female","Chronic Myeloid","Incidence","2473",157258820
"2010","All Races","Female","Chronic Myeloid","Mortality","446",157258820
"2010-2014","All Races","Female","Chronic Myeloid","Incidence","12698",791087365
"2010-2014","All Races","Female","Chronic Myeloid","Mortality","2294",797940140
"2011","All Races","Female","Chronic Myeloid","Incidence","2534",157079233
"2011","All Races","Female","Chronic Myeloid","Mortality","494",158427085
"2012","All Races","Female","Chronic Myeloid","Incidence","2618",159581546
"2012","All Races","Female","Chronic Myeloid","Mortality","471",159581546
"2013","All Races","Female","Chronic Myeloid","Incidence","2627",160720625
"2013","All Races","Female","Chronic Myeloid","Mortality","411",160720625
"2014","All Races","Female","Chronic Myeloid","Incidence","2513",161952064
"2014","All Races","Female","Chronic Myeloid","Mortality","472",161952064
"1999","All Races","Female","Colon and Rectum","Incidence","74264",139034769
"1999","All Races","Female","Colon and Rectum","Mortality","28909",142237295
"2000","All Races","Female","Colon and Rectum","Incidence","74816",140494755
"2000","All Races","Female","Colon and Rectum","Mortality","28950",143719004
"2001","All Races","Female","Colon and Rectum","Incidence","75840",143603977
"2001","All Races","Female","Colon and Rectum","Mortality","28579",145077463
"2002","All Races","Female","Colon and Rectum","Incidence","74771",144616076
"2002","All Races","Female","Colon and Rectum","Mortality","28132",146394634
"2003","All Races","Female","Colon and Rectum","Incidence","75380",147679036
"2003","All Races","Female","Colon and Rectum","Mortality","27793",147679036
"2004","All Races","Female","Colon and Rectum","Incidence","74276",148977286
"2004","All Races","Female","Colon and Rectum","Mortality","26699",148977286
"2005","All Races","Female","Colon and Rectum","Incidence","73738",150319521
"2005","All Races","Female","Colon and Rectum","Mortality","26224",150319521
"2006","All Races","Female","Colon and Rectum","Incidence","73225",151732647
"2006","All Races","Female","Colon and Rectum","Mortality","26395",151732647
"2007","All Races","Female","Colon and Rectum","Incidence","72179",153166353
"2007","All Races","Female","Colon and Rectum","Mortality","26215",153166353
"2008","All Races","Female","Colon and Rectum","Incidence","71510",154604015
"2008","All Races","Female","Colon and Rectum","Mortality","25924",154604015
"2009","All Races","Female","Colon and Rectum","Incidence","69455",155964075
"2009","All Races","Female","Colon and Rectum","Mortality","25042",155964075
"2010","All Races","Female","Colon and Rectum","Incidence","67674",157258820
"2010","All Races","Female","Colon and Rectum","Mortality","24972",157258820
"2010-2014","All Races","Female","Colon and Rectum","Incidence","330758",791087365
"2010-2014","All Races","Female","Colon and Rectum","Mortality","123701",797940140
"2011","All Races","Female","Colon and Rectum","Incidence","66355",157079233
"2011","All Races","Female","Colon and Rectum","Mortality","24979",158427085
"2012","All Races","Female","Colon and Rectum","Incidence","66037",159581546
"2012","All Races","Female","Colon and Rectum","Mortality","24650",159581546
"2013","All Races","Female","Colon and Rectum","Incidence","66132",160720625
"2013","All Races","Female","Colon and Rectum","Mortality","24583",160720625
"2014","All Races","Female","Colon and Rectum","Incidence","66596",161952064
"2014","All Races","Female","Colon and Rectum","Mortality","24517",161952064
"1999","All Races","Female","Colon excluding Rectum","Incidence","56481",139034769
"1999","All Races","Female","Colon excluding Rectum","Mortality","25125",142237295
"2000","All Races","Female","Colon excluding Rectum","Incidence","57153",140494755
"2000","All Races","Female","Colon excluding Rectum","Mortality","25169",143719004
"2001","All Races","Female","Colon excluding Rectum","Incidence","57939",143603977
"2001","All Races","Female","Colon excluding Rectum","Mortality","24801",145077463
"2002","All Races","Female","Colon excluding Rectum","Incidence","57157",144616076
"2002","All Races","Female","Colon excluding Rectum","Mortality","24318",146394634
"2003","All Races","Female","Colon excluding Rectum","Incidence","57553",147679036
"2003","All Races","Female","Colon excluding Rectum","Mortality","23998",147679036
"2004","All Races","Female","Colon excluding Rectum","Incidence","56500",148977286
"2004","All Races","Female","Colon excluding Rectum","Mortality","22914",148977286
"2005","All Races","Female","Colon excluding Rectum","Incidence","56124",150319521
"2005","All Races","Female","Colon excluding Rectum","Mortality","22397",150319521
"2006","All Races","Female","Colon excluding Rectum","Incidence","55647",151732647
"2006","All Races","Female","Colon excluding Rectum","Mortality","22456",151732647
"2007","All Races","Female","Colon excluding Rectum","Incidence","54712",153166353
"2007","All Races","Female","Colon excluding Rectum","Mortality","22264",153166353
"2008","All Races","Female","Colon excluding Rectum","Incidence","54319",154604015
"2008","All Races","Female","Colon excluding Rectum","Mortality","21863",154604015
"2009","All Races","Female","Colon excluding Rectum","Incidence","52538",155964075
"2009","All Races","Female","Colon excluding Rectum","Mortality","21021",155964075
"2010","All Races","Female","Colon excluding Rectum","Incidence","50959",157258820
"2010","All Races","Female","Colon excluding Rectum","Mortality","20751",157258820
"2010-2014","All Races","Female","Colon excluding Rectum","Incidence","248254",791087365
"2010-2014","All Races","Female","Colon excluding Rectum","Mortality","102933",797940140
"2011","All Races","Female","Colon excluding Rectum","Incidence","49972",157079233
"2011","All Races","Female","Colon excluding Rectum","Mortality","20845",158427085
"2012","All Races","Female","Colon excluding Rectum","Incidence","49613",159581546
"2012","All Races","Female","Colon excluding Rectum","Mortality","20484",159581546
"2013","All Races","Female","Colon excluding Rectum","Incidence","49572",160720625
"2013","All Races","Female","Colon excluding Rectum","Mortality","20469",160720625
"2014","All Races","Female","Colon excluding Rectum","Incidence","49601",161952064
"2014","All Races","Female","Colon excluding Rectum","Mortality","20384",161952064
"1999","All Races","Female","Corpus","Incidence","33874",139034769
"1999","All Races","Female","Corpus","Mortality","3121",142237295
"2000","All Races","Female","Corpus","Incidence","34020",140494755
"2000","All Races","Female","Corpus","Mortality","3139",143719004
"2001","All Races","Female","Corpus","Incidence","35815",143603977
"2001","All Races","Female","Corpus","Mortality","3185",145077463
"2002","All Races","Female","Corpus","Incidence","35890",144616076
